"","ID","Valence","Arousal","Tendency_Approach","V.H","Description","Category_Valence","Category_Arousal"
"1","People_238_h",1.3279,7.5424,1.8689,"h","Dead Bodies","Negative","Aroused"
"2","People_198_h",1.5833,7.5625,1.4286,"h","Mutilated Leg","Negative","Aroused"
"3","People_237_h",1.5957,7.3913,1.4468,"h","Face Skin","Negative","Aroused"
"4","Faces_367_h",1.6522,7.6,1.7333,"h","Mutilated Face","Negative","Aroused"
"5","Animals_074_h",1.6957,7.3696,2.2889,"h","Starved Dog","Negative","Aroused"
"6","People_038_h",1.7333,8.0455,2.2727,"h","Assault","Negative","Aroused"
"7","Faces_371_v",1.7333,7.5556,2.2667,"v","Mutilated Face","Negative","Aroused"
"8","Faces_364_v",1.7619,7.6905,1.4762,"v","Mutilated Face","Negative","Aroused"
"9","People_226_h",1.8125,7.4043,1.8723,"h","Accident","Negative","Aroused"
"10","People_240_h",1.8154,7.0462,2.1077,"h","Skin Disease","Negative","Aroused"
"11","People_218_v",1.8444,7.5227,1.7111,"v","Mutilated Hand","Negative","Aroused"
"12","Faces_143_v",1.8478,7.4375,2,"v","Mutilated Face","Negative","Aroused"
"13","People_208_h",1.8542,7.6667,1.7917,"h","Dead Body","Negative","Aroused"
"14","People_227_h",1.8571,7.18,2,"h","Burns","Negative","Aroused"
"15","Animals_056_h",1.8615,7.5,1.6923,"h","Dead Cat","Negative","Aroused"
"16","People_201_v",1.8723,7.5111,2.3542,"v","Accident","Negative","Aroused"
"17","People_221_h",1.88,7.5714,1.7143,"h","Surgery","Negative","Aroused"
"18","People_211_v",1.8824,7.6275,1.7255,"v","Mutilated Hand","Negative","Aroused"
"19","Faces_159_h",1.9286,7.3721,1.7442,"h","Mutilated Face","Negative","Aroused"
"20","People_246_h",1.9583,7.1064,1.9792,"h","Black Eye","Negative","Aroused"
"21","People_220_h",1.9778,7.4894,1.6809,"h","Disease","Negative","Aroused"
"22","Faces_365_v",1.9836,7.0984,1.9672,"v","Mutilated Face","Negative","Aroused"
"23","Animals_077_h",2.0204,7.4792,2.1042,"h","Sick Dog","Negative","Aroused"
"24","Objects_125_h",2.0222,6.2045,1.4667,"h","Toilet","Negative","Aroused"
"25","Objects_139_h",2.0769,6.6406,2.1846,"h","Doll Head","Negative","Aroused"
"26","People_205_v",2.0909,7.2,2,"v","Drowned Man","Negative","Aroused"
"27","Faces_366_h",2.1136,7.0698,2.0227,"h","Mutilated Face","Negative","Aroused"
"28","People_022_h",2.125,6.4792,2.6809,"h","Car Crash","Negative","Aroused"
"29","People_127_h",2.1538,7.6154,2.6462,"h","Assault","Negative","Aroused"
"30","People_222_h",2.1667,7.625,1.8723,"h","Hooked Skin","Negative","Aroused"
"31","People_128_h",2.2292,7.75,2.375,"h","Wounded Child","Negative","Aroused"
"32","Faces_010_h",2.2391,7.7333,2.6739,"h","Child With Burns","Negative","Aroused"
"33","Animals_078_h",2.2609,6.6809,2.2667,"h","Dead Mouse","Negative","Aroused"
"34","People_200_h",2.2667,6.9348,2.7609,"h","Dead Bodies","Negative","Aroused"
"35","People_031_v",2.28,6.92,2.3,"v","Burns","Negative","Aroused"
"36","Objects_149_h",2.2826,7.1778,2.8043,"h","Blood","Negative","Aroused"
"37","Faces_145_v",2.2857,7.3469,3.0612,"v","Mutilated Face","Negative","Aroused"
"38","Faces_149_v",2.2979,7.6136,2.1875,"v","Mutilated Face","Negative","Aroused"
"39","Animals_071_h",2.3469,6.68,3.0851,"h","Dead Moose","Negative","Aroused"
"40","Objects_003_h",2.3871,6.7869,3.4194,"h","Crashed Car","Negative","Aroused"
"41","People_204_v",2.3958,6.7755,2.3469,"v","Skin Inflammation","Negative","Aroused"
"42","People_239_h",2.3958,6.6596,2.1042,"h","Skin Disease","Negative","Aroused"
"43","Faces_018_h",2.4082,6.7959,3.1429,"h","Armed Boys","Negative","Aroused"
"44","Animals_033_h",2.4118,6.6078,2.2941,"h","Dead Bird","Negative","Aroused"
"45","People_140_h",2.4167,6.4792,2.3333,"h","Wounded People","Negative","Aroused"
"46","Landscapes_139_h",2.4286,6.44,2.5306,"h","Waste","Negative","Aroused"
"47","People_020_h",2.4318,6.7826,3.2826,"h","Car Crash","Negative","Aroused"
"48","Faces_284_h",2.4348,6.8333,3,"h","Crippled Man","Negative","Aroused"
"49","Animals_024_h",2.4375,6.75,2.375,"h","Dead Cat","Negative","Aroused"
"50","Faces_293_h",2.44,7.08,3.22,"h","Police Arresting Someone","Negative","Aroused"
"51","People_016_h",2.4468,7.0426,3.1957,"h","Car Crash","Negative","Aroused"
"52","Faces_172_h",2.4516,6.8361,3.3934,"h","Elderly Man","Negative","Aroused"
