ID,Category,Nr,V/H,Description,Valence,Valence_SD,AvAp,AvAp_SD,Arousal,Arousal_SD,Width,Height,Luminance,Contrast,JPEG_size80,LABL,LABA,LABB,Entropy,Category_Valence,Category_Arousal,Neutral,Negative,Positive,
People_238_h,People,238,h,Dead Bodies,1.3279,0.6251,1.8689,1.3841,7.5424,1.2501,1600,1200,76.6509,67.5246,360708,31.4106,3.5262,2.7267,7.5315,Negative,Aroused,0,1,0,1
People_198_h,People,198,h,Mutilated Leg,1.5833,0.8208,1.4286,0.8898,7.5625,1.3669,1600,1200,171.8814,62.535,325304,69.6798,4.7006,4.2211,7.4617,Negative,Aroused,0,1,0,2
People_237_h,People,237,h,Face Skin,1.5957,0.8762,1.4468,0.7748,7.3913,1.4217,1600,1200,168.8021,34.2264,501082,70.9929,-7.673,14.129,7.0069,Negative,Aroused,0,1,0,3
Faces_367_h,Faces,367,h,Mutilated Face,1.6522,0.9479,1.7333,1.009,7.6,1.3718,1600,1200,117.9464,73.6152,361275,48.3707,-0.4674,1.53,7.8862,Negative,Aroused,0,1,0,4
Animals_074_h,Animals,74,h,Starved Dog,1.6957,0.9631,2.2889,1.3588,7.3696,1.2712,1600,1200,137.3977,69.7777,377872,56.3811,2.7902,17.7709,7.8357,Negative,Aroused,0,1,0,5
People_038_h,People,38,h,Assault,1.7333,1.009,2.2727,1.6334,8.0455,1.1197,1600,1200,124.2545,66.3283,379051,51.2733,-1.9829,13.5075,7.7399,Negative,Aroused,0,1,0,6
Faces_371_v,Faces,371,v,Mutilated Face,1.7333,0.8893,2.2667,1.8513,7.5556,1.4856,1200,1600,90.1397,57.763,371284,37.9441,8.1372,6.9004,7.7187,Negative,Aroused,0,1,0,7
Faces_364_v,Faces,364,v,Mutilated Face,1.7619,0.983,1.4762,0.8334,7.6905,1.1994,1200,1600,139.9074,65.6803,387102,60.7988,24.9986,28.2913,7.7437,Negative,Aroused,0,1,0,8
People_226_h,People,226,h,Accident,1.8125,0.9146,1.8723,0.9695,7.4043,1.7151,1600,1200,65.1967,62.9459,243987,26.8843,2.3508,-0.1364,7.3002,Negative,Aroused,0,1,0,9
People_240_h,People,240,h,Skin Disease,1.8154,1.0291,2.1077,1.3005,7.0462,1.2678,1600,1200,174.1183,71.9169,252660,70.3268,-0.1076,14.0713,7.4062,Negative,Aroused,0,1,0,10
People_218_v,People,218,v,Mutilated Hand,1.8444,0.976,1.7111,0.8692,7.5227,1.1307,1200,1600,104.1129,62.0326,275772,43.1081,7.3469,1.0865,7.6848,Negative,Aroused,0,1,0,11
Faces_143_v,Faces,143,v,Mutilated Face,1.8478,1.0743,2,1.2028,7.4375,1.2012,1200,1600,157.4822,82.8809,170724,63.5457,7.0985,6.0065,7.5637,Negative,Aroused,0,1,0,12
